original_text,summary
"Our next phone question will come from Adam Jonas with Morgan Stanley.Adam Michael JonasMorgan Stanley, Research DivisionFirst question, on the Model S and the release candidates. How many release candidates have youproduced? What have been some of the issues with the recent production? And why the slight -- am Iseeing a slight further delay by [indiscernible] late 3Q from what I thought was kind of more of an Augusttime horizon for initial deliveries? Anything that kind of might be behind that you'd highlight?Elon R. Musk I think we're past almost sort of answering super-detailed questions about the X ramp. But look, the thingthat really matters is not like when do the first deliveries of the X occur, but rather when do significantdeliveries of the X occur. And for the S, we had quite a long ramp from -- we had like 6 months fromthe very first deliveries to significant volume. We're trying to compress that to maybe like 2 monthsor 3 months for -- at most, cut that in half or more for the X. And we want to make sure we really aredelivering a product that has been thoroughly validated in hot and cold weather and through millions ofmiles of travel and everything. So it would be easy for us to kind of do some initial deliveries in August,that would be pretty easy. But then -- like we don't want to have like -- if we have had door handle issues,like people are aware of that with the S. They don't want to have Falcon Wing door issues with the X. Wewant to iron everything out, make sure it's good and then deliver at high volume. So effectively, we'dcreate like a captive fleet and iron out the issues with that captive fleet. They're quite big, several hundredvehicles basically. And maybe that addresses your release candidate question. And just make sure thatthose several hundred vehicles really work well in all circumstances before we start delivering cars enmasse. Because we're going to go from just 1 of our cars to like 1,000 a week pretty fast.Adam Michael JonasMorgan Stanley, Research DivisionOkay. And just a second question, in the interest of time, and final question. Apple has kind of still,unofficially perhaps, been making inroads into building up its vehicle engineering and transportationcapabilities, according to a lot of sources, and making investments both in physical and human capital.","Elon R. Musk: I think we're past almost sort of answering super-detailed questions about the X ramp. We want to make sure we really aredelivering a product that has been thoroughly validated in hot and cold weather and through millions ofmiles of travel and everything. So effectively, we'dcreate like a captive fleet and iron out the issues with that captive fleet."
"Areyou starting to feel a greater sense of competition with Silicon Valley parties versus your ability to attractand retain key software and automotive engineering talent? And if Apple were to get into the electric carbusiness, would you see this as a positive for broader consumer acceptance of electric vehicles?Elon R. MuskActually, I certainly hope Apple gets into the car business. That would be great. But no, we're not reallyseeing significant attrition of engineers to Apple for anything, car or otherwise. And actually, anyone canlike figure this out by just going on LinkedIn. LinkedIn can produce statistics on what the relative flowof people is from one company to another. And I think it's like, something like 5 -- if you look at like thetrailing 12 months, I think Tesla's recruited 5x as many people from Apple as Apple has recruited fromTesla. So it's like some fairly high number.","Elon Musk: We're not really seeing significant attrition of engineers to Apple for anything, car or otherwise. Tesla's recruited 5x as many people from Apple as Apple has recruited fromTesla, he says. Musk: If Apple were to get into the electric carbusiness, would you see this as a positive for broader consumer acceptance of electric vehicles?"
"Our next phone question will come from Brian Johnson with Barclays.Brian Arthur JohnsonJust really want to ask about the balance between stationary and automotive. It's not unusual for growthcompanies to change their focus as they evolve. I think at least one of the stories around PayPal, itwas going to be a cryptographic PDA-focused company, until it refocused perhaps through your help,Elon, on web-based payments. It just -- I'm hearing you talk about stationary storage as being able toramp faster perhaps, although you didn't [ph] answer this kind of maybe with a lower CapEx and OpExratio than the auto business. Yet at the same time, auto takes a lot of capital, takes a lot of OpEx. AndSergio Marchionne pointed out there's a lot of value-destroying capital spent in the legacy industry. Is itconceivable that instead of say being 70/30 auto/batteries, it could go the other way?Elon R. MuskIt's possible. I mean, this is -- we're, like, really super in guesswork territory here. All we know rightnow is like we have demand, like, well in excess of our production ramp. So we know like, right now, Ithink we should work on is trying to increase our production ramp, not trying to increase demand. So that's kind of like the only thing we know for sure right now. And then if you look really long-term what'sthe total energy -- like how many battery -- what's the total terawatt hours of installation -- of batteryinstallation that's needed to go to a fully renewable global economy taking into account transportation,current electrical needs, full electrification of transport, electrification of all heating and cooling, and thenthe current industrial uses and commercial uses of electricity like to go fully electric -- transport is abouthalf the size of everything else. That was sort of our global macro calculations. So ultimately, we thinkthings will get there, it could take a long time, but that's kind of where we think things will end up. Andyes, that's where we get to like the kind of 2 billion power pack number. Whether it's made by Tesla orother companies or some combination, that's kind of the number you need to get to go fully electric. Butwhere things -- how things track between now and then, it's difficult to predict.Brian Arthur JohnsonIn terms of the ROIC, would you be thinking that stationary could be a better ROIC business than saymass market or mass affluent automotive?Elon R.","Elon R. Musk: It's possible. I mean, this is -- we're, like, really super in guesswork territory here. All we know rightnow is like we have demand,. like, well in excess of our production ramp. So that's kind of like the only thing we know for sure right now."
"MuskIt might. I mean, I'd -- it would be nice to get like maybe a couple of quarters of experience after makingthe big announcement to really -- before we -- our degree of uncertainty will diminish quite substantiallywith each passing month. Certainly a year from now, we'd have -- we're going to have like I think a reallygood idea of it. But it's like super-speculative at this point. But we just know that like, man, there's just noway we can meet the demand that we're seeing right now. And so we've got to scale stationary storage asfast as possible.Brian Arthur JohnsonAnd you mentioned last time that some CapEx was going to product development, in the shareholders'letter, for Model 3 -- Model 3 wasn't in this. Does that mean you might be delaying some Model 3investments? Or just the other things kind of swamp it?Elon R. MuskIt's just the other things kind of swamp it. We need to make sure -- we're doing quite a bit of advancedwork on Model 3, but this just doesn't amount to a lot of CapEx.Deepak AhujaAnd just to clarify, Model 3 spend in the initial stages is more engineering spend.Elon R. MuskIt's like, basically, design studio.Deepak AhujaExactly.Elon R. MuskLike very early engineering prototypes. It's just not very -- it's just not very cash-intensive.Deepak Ahuja Yes. CapEx comes at a later stage when you have all the designs finalized, you're kicking off tooling again[ph].Elon R. MuskYes.Deepak AhujaSo we are in the early stages as to be expected at this point in time.Elon R. MuskYes.Jeff EvansonWell, Brian, you might want to ask the follow-up, does this impact our Model 3 timing, so I'll throw thatout.Brian Arthur JohnsonWell, go ahead.Elon R. MuskWell, I mean, we are hoping to show off the Model 3 in approximately March of next year. Again, don'tsuper hold me to that month, but that's like -- that's our aspiration, and then be in production with Model3 in the -- I'd like to say mid, but probably closer to the late 2017 time frame. Late 2017 is probably morerealistic.Brian Arthur JohnsonOkay. And in the meantime, the Gigafactory sounds like it may be ramping up faster. But perhaps, thosebatteries could go not just to Fremont cars, but to Fremont stationary storage -- or to stationary storage,not necessarily touching Fremont.Elon R. MuskYes. It would just built, actually, it's just right there, not even go to Fremont, really.","Elon R. Musk: I mean, we are hoping to show off the Model 3 in approximately March of next year. That's like -- that's our aspiration, and then be in production with Model3 in the -- I'd like to say mid, but probably closer to the late 2017 time frame."
"It would just be builtat the kind of Reno factory, or Sparks, technically it's Sparks. The Nevada factory and go from -- ship fromthere to customers.Jeffrey B. StraubelYes, starting Q1 next year, that's our plan for all the stationary or all the Tesla Energy products.","Starting Q1 next year, that's our plan for all the stationary or all the Tesla Energy products. It would just be builtat the kind of Reno factory, or Sparks, technically it's Sparks. The Nevada factory and go from -- ship fromthere to customers."
"Our next question will come from Ryan Brinkman with JPMorgan.Ryan J. Brinkman I have a 2-part question on cash. Firstly, on the last call, you mentioned reaching free cash flow positivein 4Q this year. I'm just wondering, with 1Q behind you, how you think you're tracking relative to thatgoal? And then secondly, if you could perhaps comment on your capitalization and liquidity overall and thepotential for, or desirability of, raising any additional capital.Deepak AhujaWe do expect to be free cash flow positive in Q4, that doesn't change. And as we go along, clearly, we areoptimizing for efficiency, which results in increase of our finished goods inventory. It makes sense for usto then establish some asset pipelines of credit, which is backed by our finished goods inventory or rawmaterials. So we'll take those actions to make sure we have a solid balance sheet.Elon R. MuskYes, I mean I think it's -- yes, I think things are looking pretty good for Q4. But it's hard to predict fullquarter exactly because the whole quarterly boundary and where does the sort of the sort of exponentialramp of production fall exactly on that start of Q4 boundary. But it's -- I think it's extremely likely thatthere's -- that cash flow is really good at the end of Q4.","On the last call, you mentioned reaching free cash flow positivein 4Q this year. I'm just wondering, with 1Q behind you, how you think you're tracking relative to thatgoal. And then, if you could perhaps comment on your capitalization and liquidity overall and thepotential for, or desirability of, raising any additional capital."
"Our next phone question will come from the line of Trip Chowdry with Global Equities Research.Trip ChowdhryA quick question, 2 quick questions. First is regarding the residences which may not have the solar panels,and, say, that residence goes and buys 2 power walls. Does that customer have to buy 2 inverters or 1inverter is sufficient for as many power walls the customer buys?Elon R. MuskIt's basically whatever the capability of that inverter is. So typically the inverter would be capable ofhandling -- 1 inverter is probably capable of handling, depending on the situation, up to maybe 4 or 5power walls.Trip ChowdhryThe second question I had was regarding the double-back tour you had in 10 cities, and that was -- ourresearch indicated that it was a very successful event with the reservations and orders really skyrocketing.And I think it was only in Canada and U.S.A. Wondering if you could expand that tour to other continents?Elon R. MuskYes, absolutely. I mean, we have actually -- we just did a big thing in Europe through Germany. And thereactually, I think, there is like quite a big a tour happening from Slovenia, I think, through most of Europe.So there's actually quite a lot happening. Actually, our sales in Europe lately have been pretty, prettygreat. I mean, like, yes, really strong.Deepak AhujaAnd we did the tour in Germany, too -- in Europe, too, sorry, with your motor.Elon R. Musk Yes. So the 85D has been a big hit in Europe.Trip ChowdhryIf I can ask one last question. I was at your Lathrop factory the other day. And there was some interestingconstruction happening behind it, with huge metallic frames being installed. What kind of production couldbe happening there? And it seems like the factory size has increased almost 40%. And what is happeningthere? Any thoughts you can share with us? And that's all for me.Elon R. MuskYes, we're establishing a big casting foundry and machining facility there. And yes, that's intended tosupport activity in Fremont. So that's -- yes, that's what's happening in Lathrop primarily.","Elon R. Musk: Our sales in Europe lately have been pretty, prettygreat. I mean, like, yes, really strong.Deepak Ahuja: And we did the tour in Germany, too -- in Europe, too, sorry, with your motor. Yes. So the 85D has been a big hit in Europe."
"Our next phone question will come from the line of Patrick Archambault with Goldman Sachs.Patrick Kenehan ArchambaultJust wanted to build on, I think, Ryan Brinkman's question, on the fourth quarter cash flow guidance. Doesthat include income from those warehouse facilities to offset leased vehicles? Or is that exclusive of that?Deepak AhujaWell, our projection, as Elon said, was the end of the quarter, as we ramp up production, we should befree cash flow positive on a pure sense. But frankly, our operations should be looked at without the impactof leasing. And that's a purer measure of operations, which is a lower threshold, I get it, but that's aunique or distinct decision we've made to be in that business.Jeff EvansonHold on a second, Pat. Deepak, do you want to explain about the classification of cash inflows within thestatement of cash flows?Deepak AhujaSure. Yes, if you look at our Q1 cash flows, for example, we received $155 million from our, either thewarehouse line or banking partners related to our leasing business. But that cash flow does not show upas an offset in our cash flow from operations. It shows up in our financing activities. So our cash flow fromoperations shows up $131 million negative. But if you offset that against the $155 million that we receivedon the leasing business, we were slightly better than breakeven purely on an operations basis. And so ourreal cash flow in Q1 was driven by the strong CapEx spend ahead of the Model X launches, the way wetend to look at the business internally.Patrick Kenehan ArchambaultOkay, I appreciate that clarification. The other quick question I had is just I was a little surprised by the-- I think you guys had obviously very good gross margins this quarter relative to some of the headwindsthat you were facing. And I guess I was surprised to see that x ZEV, they go from 26 to 25. With someof the increases in pricing that you're putting through and some of the components that you're buyingoutside of the U.S. with a stronger dollar now, which -- where there was a little bit of a lag, I understand.I -- it just -- that seemed a bit conservative, and I don't know, maybe it ties back into Rod's earlier pointabout mix, but I guess that was one area that I was a little surprised.","Deepak, do you want to explain about the classification of cash inflows within thestatement of cash flows?Deepak AhujaSure. Yes, if you look at our Q1 cash flows, for example, we received $155 million from our, either thewarehouse line or banking partners related to our leasing business. But that cash flow does not show upas an offset in our cash flow from operations. It shows up in our financing activities. So our real cash flow in Q1 was driven by the strong CapEx spend ahead of the Model X launches."
"Deepak AhujaSo just to clarify, the price increase that we've announced is not going to help us in Q2 given our book ofbusiness. It's going to primarily affect us in Q3.Elon R. MuskYes.Deepak AhujaAnd also in April, for most of April, the dollar was pretty strong. It's just trended in the last week or 10days or so, and we were continuing to deliver cars. So that strong dollar impact does roll over sequentiallyinto Q2 for us despite the lag effect of good news from a strong dollar. And as we said in the letter, wefully expect the mix impact to be offset by cost reductions that we will achieve. So it's really related to FXthat we see the sequential drop.Elon R. MuskYes. The FX was really -- that was really a tricky thing to deal with. We had a quite strong European sales.And then the FX impact was quite significant. So obviously, if you've got a car that is, like let's say, 25%gross margin, and you've got -- and you see a 20% change in currency, it's like, wow, okay? That's notsuper easy to make up that difference.Deepak AhujaYes. And to your point, and maybe this is a broader comment to make, that as we look at our Q1 non-GAAP loss that we have of $45 million, a big chunk or most of it could be attributed to the dollar strengththat has happened over the last 6 months. As we've indicated, our Q1 top line came down by about 3percentage points. And then we had the $22 million unrealized losses, from currency. You combine those2, and there's an offset in gross margin due to lower cost of parts we buy in foreign currencies. Butconsider this whole mix and you can see the foreign currency change over the last 6 months can explainmost of the losses we had in Q1.Patrick Kenehan ArchambaultAnd, yes, maybe just like that last piece is kind of interesting. How much are you able to take advantageof that natural hedge you just described, right? Because you are buying components in currencies thathave also depreciated, right? Batteries are one obvious thing. I'm sure you're sourcing a lot of stuff inMexico. Are you close to optimizing that? Or is that something that can be kind of exercised more?Elon R.","The price increase that we've announced is not going to help us in Q2 given our book ofbusiness. It's going to primarily affect us inQ3. And as we said in the letter, wefully expect the mix impact to be offset by cost reductions. So it's really related to FXthat we see the sequential drop."
"MuskFor better or worse, one can look at it as a pro or con depending on the situation, basically, about 60%of the car, maybe a little more than 60%, is U.S. and Canada. So it would -- we may have -- we certainlyhave, like, lots of, say, European companies that supply us, but they will supply us from plants in the U.S.or Canada or sometimes Mexico. So that's -- this really is a North American built car, like not -- for real.So it's like, as Deepak is saying, it's slightly helpful if the dollar strengthens relative to the yen. But then,since we have, like, quite strong European sales, this is -- I think it's like 5% of our parts or somethingcome from Europe. It's pretty low.Deepak Ahuja Right.Elon R. MuskSo if our sales are 30% in Europe, then obviously there's not as much an offset as one would like. Iactually thought it would be higher than that. But it's like -- because I'm looking at the names of thesuppliers, but not -- what matters is where -- not the name of the supplier. If their headquarter's inGermany, but where is the plant? So yes. I've got to go into another meeting, so if there are...","Elon R. Musk: About 60%of the car, maybe a little more than 60%, is U.S. and Canada. So it would -- we may have -- we certainlyhave, like, lots of, say, European companies that supply us, but they will supply us from plants in the U.s. or Canada or sometimes Mexico."
"Our next question will come from the line of Brad Erickson with Pacific Crest Securities.Bradley D. EricksonJust a quick follow-up from the last one on the automotive gross margins. I think just x currency, can youjust quickly talk maybe a couple of examples where you're looking to remove more costs from the caritself? I think we can all kind of appreciate there's continued scale advantages over time. But maybe if youcould talk about other cost savings opportunities we should be thinking about with both the S and the X,and sort of what inning we're in, in terms of achieving those savings?Elon R. MuskYes, a big factor is labor hours per vehicle. That has steadily improved. It was sort of quite bad in Q4,particularly with the P85 ramp, P85D ramp. We've made good progress on that in Q1, we'll continue tomake good progress on that through the rest of the year. So it's like labor and like direct overhead in thefactory.Deepak AhujaYes, we're focused across every line item of our COGS, so material cost reductions, freight, both inbound-- we spoke a little bit about outbound freight efficiencies...Elon R. MuskYes, we had a lot of expediting.Deepak AhujaYes.Elon R. MuskBecause you know there was that big port strike was super-unhelpful. That also hurt pretty badly. It waslike the, I think, the worst port strike of the 21st century. And so we're also soldiering through that. So wehad like -- had to airfreight a ton of stuff...Deepak AhujaExactly right.Elon R. MuskWhile everyone else was simultaneously trying to airfreight a bunch of stuff. Deepak AhujaThat's right. It cost us $7 million.Elon R. MuskYes. Just airfreight, yes. So like well, so cutting back on airfreight is really helpful, direct labor hours. The-- just...Deepak AhujaWe continue with several engineering and promotional actions on material costs. It's a long list, notappropriate to go through. But yes, as a company, I think we are focused on Model X. But S is alsocertainly improving gross margin there, it's part of our priorities.Elon R. MuskYes.","Elon R. MuskYes, we're focused across every line item of our COGS, so material cost reductions, freight, both inbound-- we spoke a little bit about outbound freight efficiencies. It's a long list, notappropriate to go through. But yes, as a company, I think we are focused on Model X."
"And our final question in the phone queue will come from the line of Tyler Frank with Robert W. Baird.Benjamin Joseph KalloThis is Ben, very quickly, you mentioned the Gigafactory and then a lot of talk about stationary storageand increasing the size of the Gigafactory. Does that change in any way that you're looking at partnershipsand bringing partnerships in, and maybe an update on timing there? And then, Elon, you talked abouthaving a fleet of a couple hundred X to get out and test. And you mentioned Model 3 showing it nextMarch. When should we see the Model X in it's final version?Jeffrey B. StraubelWell, no particular change to the partnership model for the Gigafactory. I think as Elon said, it's early dayson trying to make some of those changes in direction. But largely, it's just a bigger scope of opportunityfor a lot of the people we're already working with. And it is continuing to go well. We're actually beginningto hire operational people at the Gigafactory and beginning to staff up on that ahead of -- starting to trainand then ramp up production of the stationary products early next year.Benjamin Joseph KalloJust on the Model X, when we could see that?Jeff EvansonElon, do you want to talk about Model X? We've had a number of questions here from investors and Ben'squestion here about when you'll be able to configure Model X online, when we'll show that to the public,how that will actually deploy.Elon R. MuskYes. Probably 3 months from now -- no, actually, I'm sorry. We're in May, so it's like -- this is probably Julyis when we'll ask people to do the configuration. And it will be very similar to the S, like, it's not going to be super -- no big surprises there. It's very similar to the S. And yes, we certainly have a lot of customerswho have been waiting a long time. So there will be quite the need to get the car.Benjamin Joseph KalloGood, we look forward to that.Elon R. MuskYes, I think this is really a great car. I mean, it's like -- because it has like such a low center of mass. Imean, it handles like a sports car even though it's an SUV, with battery packs in the oil pan. And it's gotincredible acceleration because there's like basically a performance version of it like there is for the P85D.The performance is just surreal.","Elon R. Musk: Probably 3 months from now -- no, actually, I'm sorry. We're in May, so it's like -- this is probably Julyis when we'll ask people to do the configuration. And it will be very similar to the S, like, it's not going to be super -- no big surprises there."
"It's like nothing else is comparable.Jeff EvansonGreat. Thank you, everyone, for joining us this afternoon, and everybody have a great night. Huey, thanksfor your help, and we'll talk to you all next quarter. Bye-bye.","Jeff Evanson: Thank you, everyone, for joining us this afternoon, and everybody have a great night. Huey, thanksfor your help, and we'll talk to you all next quarter. Bye-bye. It's like nothing else is comparable, Huey."
